Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
KKI2009-01,2.26366441711031,3.24960309846961,2.34760838265715,5.26912097962004,4.5577161936374,3.48511839966481,5.00105863686666,3.35595124367017,3.98450979981579,3.74709687720306,3.51088528909156,3.98693593375708,4.39839100826337,2.78495383164901,2.03449611428275,3.38215267177301,3.48426545800658,3.77529733782909,2.46913634042172,2.48044921526394,2.79910374021863,2.65110129826949,3.11867962707003,3.44758460650476,3.39053806391629,2.95657602818849,2.30601014745652,3.5409264129323,2.88864496885031,1.95388626092852,2.87014185223737,3.3052734782574,2.75104757468459,2.17972189246374,4.66414902502972,4.7811570744876,4.24697776391684,5.45162958334828,3.26610309632333,3.46263409456097,3.6650814325388,2.93925406396318,4.06144127867149,4.60137697703249,2.73959945997168,2.05958124716672,3.05328644863723,3.56369562292308,3.25555098114429,2.81260649781478,2.30090992417228,2.68179461228823,2.21420230363357,2.88337967904331,3.73716720049604,3.42921964449883,3.14746614035738,2.21146901631163,3.30449155399904,3.73467896985846,1.8219678304102,2.99873381644987
KKI2009-02,2.49121378018485,2.22037084232024,1.59505122489827,4.92333845490955,3.88292697335219,3.48136184533609,4.91519226543932,2.57849018145423,3.34595814192728,3.73736300853466,3.13855144736851,3.13707657608197,4.10685552287006,2.35401992672364,1.51639948870758,2.73643542692508,3.02084075747227,2.7072881217783,1.60030270788845,1.96547068837878,2.37081661038138,1.9685568227404,2.42421190479256,3.06622553881685,2.92400599036678,1.9593433390686,1.86309077180809,3.1729837162695,3.12133109217862,1.76104906663089,2.59309541973891,2.32354782818129,2.50771964022378,1.69278996018062,4.6044923810239,4.32098510633365,3.2531574176655,4.78706245238098,2.71288754112952,2.96525662369575,3.56970472644931,2.56792111988494,3.3317699411473,4.13575865382041,2.77387262039596,1.62991199043808,2.20821932560524,2.97298734006658,2.83436735787923,1.83541942498755,1.50561881704686,2.90126044901192,1.77492974099699,2.6055548366376,2.47195791554304,3.72829464825742,2.51338972890803,1.85781528573909,2.95597449757428,2.26336095929731,1.4270738901109,2.5345562987463
KKI2009-03,2.6082313589902,2.44886294516738,2.18356801029803,6.14547298180622,4.44911259042555,3.18023188734583,5.496835340458,3.15031013976702,3.49359362006321,3.74643687778544,3.47683849707898,3.35787471469716,4.32122707642368,3.01439631403367,1.87345353233675,3.11819496957266,3.06871480871866,2.86792750836895,2.13103423603307,1.93514716022158,2.9020796284892,2.16607631370116,3.33381907720315,3.54890091078417,3.17595445115701,2.4880843287624,2.10008963685859,3.4398823375516,2.69056549077167,1.9334332982312,2.83546708880959,3.15339424810354,2.24330201889247,2.19036240834903,4.19965497456758,4.43292545695079,3.62279540075299,4.68812019611415,2.6517912945018,3.0814461443111,3.93818486254022,3.06338252589299,3.64253545189984,3.99682676838472,2.89621929444984,1.97637344010584,2.88605178637576,3.60641633029128,2.66797466872487,2.73161946014067,1.86653334551629,3.38717914307721,2.15895757264768,2.90181040127477,3.89922454643379,3.79172072318186,2.97433968099681,2.04774610320934,3.20535072905931,2.26195077136896,1.83451889707,3.16147625588492
KKI2009-04,2.24462429981498,2.34904138258806,2.65616247750276,6.08928617875056,4.7989291471735,3.19496200631502,5.34015916346677,2.82270010418913,3.47403650239448,4.04831695301058,4.07207618931134,3.4595340175082,4.07186625222474,2.88708524596766,1.67065566263194,3.0944267961662,3.25436660433868,2.82423920844937,2.6778163312294,2.1056194739092,2.39344693877517,2.16205531455169,2.9484671096819,2.87800141783919,2.83746164095993,2.06607410415145,1.84943032079381,3.31975965022352,2.78392985819143,1.76271162061301,3.07111614223292,2.98246874534932,2.2822871291068,2.38609515673774,4.54788068006118,4.11503002537335,3.18739063871065,4.58562827567431,2.6724327354715,3.16566218024731,3.78652087981128,3.66242458600459,3.54863556211186,3.70205690704264,2.51604615466918,1.68076396188911,2.70072903466676,3.40953836994402,3.26036924310699,2.55607361304102,2.1573929805955,2.29461299442116,2.23155904264636,2.60808509339709,3.67491193377044,3.8333616276425,2.48034776139785,1.69974159018881,3.12748735788786,2.33275912323612,2.06138876275275,2.86987259055137
KKI2009-05,2.62140564283214,2.25667698570187,2.24342101638347,5.19824062324014,4.74750232865687,3.3789714270718,5.99525797773866,3.01287202790681,3.53314341215038,3.67967566076546,3.62147533062825,3.58040750494309,5.05251491435782,3.04087690914831,1.70945520144703,3.034057813567,3.22120829383631,2.83534526105523,2.38089188443827,1.93528656075392,2.07753118925092,2.41148369782297,2.85071303195757,3.47350029510545,2.78177300299426,2.45211251704706,1.85427548208949,3.66263217844456,3.08846213988979,2.16602552519447,2.61659015532761,2.48599639962862,2.49634421695141,1.95493775247674,4.57944469857749,4.63365739595983,3.2909538100096,5.05685841093934,2.57978115987387,2.91049981844954,3.7755660174529,3.43568780860011,3.66464446451717,4.45137494191616,2.61183159421613,1.64297139791264,3.16442919056344,3.56253184238678,3.06270316739116,2.4477002688397,1.988961549208,2.54640051418689,2.29990261360812,2.47044514005544,3.57939265790753,2.9775295829879,2.94901098741428,1.82178016254781,3.87269386048125,2.80553247316567,1.34129544613005,3.19988769729561
KKI2009-06,3.03362853753835,1.94096588354726,2.05942673559431,5.28807507069166,4.64255998992629,2.83069321378202,4.94908838944116,2.63471665718408,2.9936586798882,4.10517310443937,3.48648136414255,3.59703112650113,4.10973720689523,2.45222562314334,1.83736729653328,2.53700776532097,3.26576377605744,2.66929843887389,2.11756174818124,1.92852520331597,2.8226613128655,2.22314589217617,2.81252270909371,3.51391610878376,3.13351056305804,2.36913554678043,1.7305663885217,3.12199695901661,2.64060390086705,1.66097361849706,2.85722479614255,2.74039566431916,2.18355509570667,2.01994587079303,4.73564663259313,4.14741170383802,2.88254114014826,4.1401548942313,2.43392796984145,2.93160534652672,3.61740145164576,3.21677436534753,3.91190577124391,3.79716895285901,2.61664164488379,1.63178816359415,2.61648241724904,2.52509191360216,2.76820119397146,2.29052174186603,1.93239492122358,2.40498064819975,2.14739092819851,2.26987191253756,3.54056887760508,3.22590467928037,2.52077514692333,1.6037212458044,2.92746631043014,2.46694635217978,2.07528243141321,2.82340584854094
KKI2009-07,3.2315108669331,2.05063513207156,2.81811511532752,5.60347986107239,4.57671707516728,2.60400762509132,5.38826464483841,3.03302636976935,3.0600618766316,4.07372970403388,3.75331904847172,4.0457717234319,3.99675397553581,3.26846219181894,2.06322201506938,2.7481610609241,2.95092003100516,2.78837066400036,2.69653416978622,2.1979930613822,3.543362708331,2.02072556523664,2.98751516156797,4.24543950787502,3.13277454478208,2.50678742412866,1.89492684483106,3.19419720125484,2.59112205936163,2.03304772246262,2.92955809147392,3.48929945389196,2.74362169215202,2.11620937208392,4.83281073616183,4.59394247328794,2.66182340450869,4.9259809225381,3.06917790532658,2.68613158236369,4.20876025722423,3.45554345941088,3.89164896688249,3.806697884275,2.94836240846794,2.25512550478535,2.7703465078453,2.92564155778974,3.08725960648232,2.17337069470038,1.98749282600599,3.79837929761021,2.12969496596435,2.6763588637862,4.05705396288819,3.60830234444183,3.19639893340004,1.72030376072736,2.86383146326005,2.40380060758173,1.81161735923244,2.92646658433061
KKI2009-08,2.71457638911013,2.23525347170256,1.80697393127547,4.75328624048889,3.94579120244514,2.88587918230233,4.71521157468912,2.82344709893965,2.92158617960614,3.61511813593317,3.05850824940784,3.49293921792697,4.20847552894021,2.3061103705202,1.62576038107915,2.73310911957331,2.70055220241182,2.58312734698407,2.08196426477499,1.95640728716311,2.2450756379363,2.16319278029104,2.32888873526316,3.33803992496059,2.68387034402504,2.14042425337249,1.78862091694952,2.73394413850889,2.6741018815553,1.46889982214264,3.14700432855547,2.4024625775063,2.46350663603738,1.67300192446793,4.28187906194732,3.88394529062265,3.2117049688636,4.2462055229568,2.70184257034051,2.95695577148721,3.21200538282392,2.89651776298165,3.49711927210931,3.5115933947689,2.61919405379111,1.26407829250955,2.66172693156016,2.79718688305686,2.64355189583229,1.77668794320737,1.98669984863206,2.48728968202532,2.10116904041295,2.26398614090449,3.32588312142102,2.7705715155664,2.27149602209569,1.73396304325177,2.69120482529653,2.79916693158241,1.5836247704293,3.01720635772288
KKI2009-10,3.08013165665,2.91415944895202,3.30680485049432,5.06643943173821,5.36339714036204,3.97578183320015,6.09233259160658,2.62887781170149,4.46027296645064,3.49401763181652,4.31413555403309,3.30857848185439,5.21662742433057,2.89392439576502,2.59825405897321,3.28320219760444,3.41584540947897,3.41628376238168,4.05980213322878,2.76628687972564,3.24416710516458,2.60491059544124,3.60935743991036,3.29409383960926,3.82416405397874,2.73992927308015,2.73607133639515,3.81231637244424,3.73521401062213,2.58678891725129,3.31317056952246,3.13112687594468,2.93928505856404,3.24250211796168,4.52795803366134,5.07194100586554,4.33950500263789,5.66593964211,2.68679708769021,3.87224900973959,3.55592113026611,3.90894777410268,3.5639120242064,4.90565347551568,2.85665823611245,2.47211556155638,2.97661543137576,3.581510099076,3.48391849737509,3.56947955493558,2.75619865117815,3.22360241810713,2.56968230889528,2.87277533968691,3.2999203413577,4.2052034267677,3.03765440401865,2.49835974873547,3.86813074116175,3.60390678330224,2.3286832583687,3.14618791581595
KKI2009-11,2.19066903251659,2.45321179670548,2.53115204511142,5.8008626439456,4.74135969692533,3.21389927133011,5.44943351050322,2.79543228194774,3.4515111560849,4.02071645948903,4.08299084070394,3.39658612652739,4.24951600784615,2.79993386188097,1.74884613749784,3.33584320603975,3.3989243182442,2.95155305159296,2.64520508291967,2.12046799019356,2.50031146947288,2.19005067394435,2.97276105582598,3.12675586774057,3.08709071327963,2.20728637245349,1.93974931786058,3.50246033499166,2.87855687411491,1.82984108482266,3.09884036392141,3.12789441457781,2.37766065711526,2.30244696714594,4.25236622499731,4.22021444927877,3.32246432647869,4.94102513289293,2.63857694722379,3.20385512394223,3.8097059228657,3.75156737805746,3.66764155163763,4.02738648193518,2.31908917594088,1.73293074466127,2.95086949089525,3.52673180557676,3.51984702037248,2.61282677350615,2.27335772505005,2.34803453547025,2.32700526577005,2.61665625719181,3.85956559879821,4.08477014523516,2.64735425364563,1.71092116267813,3.266015185622,2.45052244626941,2.04833852404571,3.16287602846009
