Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
1013090_defaced_MPRAGE.nii.gz,2.70091278658691,2.2622941367942,1.8369711952458,4.95387747237118,3.5840675988447,2.32504242057037,3.91275625810225,2.49558058935331,2.65541901278003,2.99089670987785,2.55644379954807,2.84880490965269,3.41502219891959,2.69646102946788,1.59165644338008,2.36510418146932,2.67714457858108,2.44766124454522,1.50377992480052,2.00971814265351,2.54519983153205,2.18323732595064,2.2739348245562,3.63977259653989,2.78369115904589,2.507816254555,1.96834691897742,2.82771028663465,2.38976402941791,2.10609510898254,3.44239221149041,2.8375630274574,2.36076754041521,1.96245455895164,5.40722073878876,4.07799411192893,2.80570221701147,4.17072249648644,2.27820805751838,3.16628131178344,3.12414333592338,2.54023851640941,3.1429467239476,3.57785846127404,2.65045716879889,1.87359359183006,2.69638350011604,2.73787924622691,2.5650158452939,1.31821580091645,2.08761403212663,2.69290355559139,2.26852271902766,2.15846746127893,3.78765820601261,2.89110616447928,2.63146449566362,2.03233545146764,2.9615373305092,2.62836289910816,2.10847947119408,3.30318403253803
1034049_defaced_MPRAGE.nii.gz,4.48423971505398,3.33991653458682,2.98212415864959,5.35248779413392,4.44742906887729,3.68385130369092,4.46933949564711,3.871546936845,3.85931820075586,3.88472364893326,4.13084473302988,3.55961669734673,4.6466454231318,3.50346554911326,2.58108851939143,3.65081812847109,4.05202001939894,3.60018687349891,3.15925268057603,2.50951189362963,3.53348200356694,2.96421658445053,3.54465226881587,4.6546923579261,4.2694209625708,3.7636291783759,2.50126392445441,3.69274082672079,3.5217823912485,3.14039532234733,4.59156762610538,3.90817236270753,3.32103229285651,3.08645525338144,5.08492267818353,4.5755216319743,4.10833175479954,4.7030086922611,3.67396526720497,4.1181440762249,4.009860920006,4.18099793256193,3.6683726357897,4.41707083065007,3.36991023376505,2.47830531824092,3.66506661614186,4.01420173515387,3.8088247283323,3.34388024739803,2.43774192262272,3.74925363014815,2.81428517371916,3.5392752680997,4.316179207256,3.71669372147964,3.71501858749437,2.7491101830252,3.51451773224783,3.46350891025623,2.7159719225382,4.47455351299581
1097782_defaced_MPRAGE.nii.gz,3.20629955812895,2.42421239521906,2.78224126251827,4.39311248158161,3.71022519214395,2.72125335418255,3.95930277147663,2.61488711070065,3.15452769885267,3.01643500798354,3.32705784057185,2.7857884489703,3.51479536827027,2.42205408944387,2.37918511805447,2.85616698011558,2.70539869219754,2.68011837584646,2.53453635067991,2.31763232839436,2.64210005602296,2.73875182250605,2.59749622163215,3.7415199417831,2.86211229904524,2.88638281608159,2.0563545629001,2.91408430194062,3.02263505588454,2.43373291661592,3.97703352490853,3.12751827991063,2.44385587055371,2.55005534352576,5.07373628181266,3.93525099630637,2.99536871800845,3.90441352955111,2.82228141288793,3.39171944231997,3.00146843626025,3.20174857434079,2.91418026483119,3.59958938762247,2.79015680798812,2.3365198785226,2.67637274972816,2.77602098049754,2.77103529732186,2.87098880155298,2.38386208388149,2.87791390197897,2.66928224829757,2.6840423469283,3.75047399072303,2.81587391344006,2.84391065115811,2.09008017084756,3.13838761363925,2.93503243060103,2.38258607036788,4.04746137997829
1103722_defaced_MPRAGE.nii.gz,3.61659818452736,3.01756922116266,2.27397247705849,5.12747074639439,3.79307092789814,3.42642996381786,3.89792475208654,3.08751906438909,3.00858614639409,3.45443083692066,3.12050503020632,3.37927050918747,3.57892989760659,3.16572101087872,2.47288394950741,3.12876518390088,3.03367828385225,2.9784619207477,1.88131081234924,2.08264299262056,3.23847091783637,2.60293426708567,3.12639235173943,4.20704115134265,3.66888479360921,3.51638670998669,2.34187096209385,2.88690371630096,2.7931570013476,2.14464114052405,4.7037965077245,3.88950127188056,2.99740511225165,2.61425515016489,4.77744301902529,4.1320417082261,3.72722706093749,4.54510642222941,3.06099293864403,3.55652724850573,3.65732372634469,3.19412274262093,3.73611600188694,3.92830911256599,3.18999768241685,2.34727340878235,3.07756821698808,3.61685082957065,3.27158980725104,1.95132124794904,2.23895910856503,3.34263087882786,2.67139285929527,2.82336901877717,3.9917280536007,3.3792387891436,3.48961191691914,2.443180376807,3.12049412218024,3.0369225934149,2.34756371531731,4.64375111751724
1125244_defaced_MPRAGE.nii.gz,3.53869802228571,3.2749463610555,2.14307687689741,4.73460328827199,3.9751657765667,3.26684606377342,4.42606184125512,3.02299428180955,3.22338503992254,3.61769832993012,3.45065897509414,3.71361621488437,4.45224477495065,3.186681473646,2.43751402529659,3.0316610399158,2.86570839988174,2.84204193684721,1.60673609034659,2.29679361951492,3.59588319600332,2.46420284276264,3.26196601594286,4.61858901137211,3.74920841575124,3.61632318836788,2.61226710263748,3.48213720104147,2.70074062109482,2.67754782394462,3.99568105133289,3.55677037408278,3.07237287526802,2.53442114122628,4.80463232571607,4.16187171183913,3.39309191351166,4.80941346806768,3.27903108033012,3.53196711872152,3.59817589596659,3.29324894478042,3.18090416483933,4.19106035627451,3.42834670901708,2.53069670051001,3.04280784217687,3.09863939475024,2.88386735846167,1.57622343655378,2.1495351819038,3.71063384211422,2.563572940637,2.9637907222998,4.00411832061512,3.65222252624851,3.52007327502065,2.45193699336049,3.55578303910839,3.13579214781313,2.76889487324497,3.67142147420877
1143655_defaced_MPRAGE.nii.gz,3.39996523856165,3.15798864080382,2.8121633913429,6.00049379853798,4.13873374973939,3.20720779895782,4.48468745965985,3.16985440173523,3.31658586424221,3.73654587477037,3.04582443127394,3.60567167625578,4.56084800788603,2.84755562946825,2.38681667132811,3.09351120081762,2.94125914489084,2.98820590250614,2.39690693807676,2.26559313905529,2.88569616351069,2.64832722143743,3.2500026409511,4.16292453845535,3.70728830389724,3.38981057239737,2.87018739799259,3.33917250005028,2.82798847189648,2.73869288892763,3.52931184660305,3.45558631867982,2.9804373022559,2.43856965168403,5.69411565700972,3.98221098294034,3.49355900357918,4.73775969991241,3.09326095226505,3.87895985954064,3.51488380532169,2.95787757135484,3.52351031203665,4.59755385207466,2.86494970097866,2.78196091693917,3.21898894191184,2.84749121916457,3.25826718916534,2.1098857074976,2.16366599375318,3.32295076764287,2.80914060554542,3.49989274008912,4.0542889217242,3.51710533285747,3.4591771114574,2.78732521151166,3.35475179192787,2.86567389893702,2.21679460323123,3.6769371063937
1150497_defaced_MPRAGE.nii.gz,2.79938323479812,2.24243936007263,1.51114410560679,4.51824761331583,4.14438558936108,2.85815859313147,4.04942810412083,2.67818109039034,2.75314546035038,2.79562314840274,2.1580174789187,2.74725209684855,3.47635805931118,2.59475344873007,1.63412526894237,2.19385359914366,2.88255144791408,2.41168703791716,1.65870786692896,1.83958584283695,2.81869348570044,1.9169485334103,2.54459056161408,3.65113986351417,2.62600460960323,2.47648880329465,1.948246531194,2.60025525551767,2.56035995574236,1.84656039480351,3.7276308904834,2.62303919950009,2.22173448300005,1.80838145917557,4.60683638956719,4.2994632111509,2.62313783326005,4.08094895207774,2.52811120803493,2.85079986611296,2.92958707316418,2.34566116290113,2.79481943481076,3.31004434753102,2.70375428603583,1.65284451759802,2.0717656335956,2.74242784585671,2.17969355985308,1.69519672621447,1.82868304385372,2.52969287789094,1.86095600531654,2.42666061189145,3.32593821530494,2.69938856907824,2.46279516253861,2.03518256644425,2.51293673892109,2.51598176674109,1.62220342565274,3.80135275615903
1192435_defaced_MPRAGE.nii.gz,2.6346803361251,2.59568349887932,1.72071520810964,4.77508239726861,3.48921576517519,2.56212349113806,3.60572069793486,2.38348560438882,2.9098968430882,2.98509539512814,2.29972138438825,2.93332772119907,3.34395823081252,2.61650098674687,2.13494730456645,2.49199600636679,2.39529097008561,2.27243215319613,1.6880394183852,1.92330719609038,2.38119547381212,2.36461035976799,2.38614478125984,3.3228620498081,2.65275043231747,2.77801680708103,2.04361386540251,2.5651952901412,2.35786707849756,1.90669204539781,3.3314879521621,2.94437367065846,2.41337877229944,1.85507705220946,4.75940170394613,3.44644007585794,2.67240403087373,3.63740981256109,2.28372934431187,2.92837373318705,2.81584239627953,2.4263063376303,2.99895075284638,3.16667140259945,2.62779796014247,2.28247163093618,2.61104068054872,2.40105389548524,2.61233758224229,1.64998095459554,1.86568273886244,2.90803679182862,2.1034031071406,2.32204560107817,3.66296379420845,2.48393007393308,2.71758278367879,2.03984138633451,2.7774241250535,2.43173583071961,1.94344193710171,3.41893564107072
1264721_defaced_MPRAGE.nii.gz,3.30782392962654,3.15980103965981,2.18741992638209,5.07277837995136,3.66532512424095,3.25680410412231,4.12536472711201,2.89706693838326,3.48487274516136,3.30398558493034,2.82321316499772,3.27140612790241,3.90010326647106,2.82456473698126,2.29453117201136,2.82465070140369,3.16277146966351,2.69558873305994,1.41464705339957,2.08361350915242,2.84563080067746,2.71505430942751,2.76671818291812,4.11370161726956,3.57532926518031,3.25553708612854,2.27257441381862,3.33688523130689,3.19852174230997,2.55178011402731,3.72411403351832,3.41878451199926,2.75925250141933,2.47769889026814,5.43961002909339,3.64244112428261,3.39862264023572,4.40804775407259,2.84742488680979,3.56808507624662,3.37714409433219,2.77529048030433,3.30334795700734,4.364910224814,2.91486562609237,2.45690709804887,2.48035257846859,3.10275171995867,3.00967600705243,2.25207057787322,2.01506369801584,3.02431386243771,2.43065290502721,3.0521629278706,3.86916125532309,3.5367667518692,3.18752913249984,2.33057235877066,3.3843820814444,2.70623211802452,2.0052407575265,3.6628828336284
1271401_defaced_MPRAGE.nii.gz,3.05110589421627,3.02336037138497,2.52366062125024,4.77381277590079,4.04852846590087,3.16637864320431,4.48713453492301,3.19649709870923,3.72153730912207,3.44183168133901,3.16546912617593,3.54787487141595,4.37536326617937,2.79470111212299,2.39291755530704,2.85600025519726,2.86455526977069,2.69941712729762,2.59100930392742,2.05216864080249,2.90761433640259,2.60642232178854,2.9530810756784,4.15420680894056,3.0693056126546,3.10995540618823,2.30292994026538,3.34950985401021,2.82487591683323,2.42590669021218,3.59259065467722,2.91204118572071,2.99946440791132,2.52033121405462,5.32101198345747,3.96954579362391,3.29267400285334,4.38425491769304,3.22259234254584,3.54638667314024,3.4158897961394,3.1066243105134,3.39438869928694,3.98547246990555,3.18944419265948,2.30816596141462,3.1413899293361,3.153141434764,2.93001535125624,2.8884385503148,2.25073343751247,3.73065790929295,2.72689524323235,3.34724234474177,3.52196046868483,3.20167574188127,3.22633072162258,2.57745658141075,3.55375189144289,2.87388004731681,2.8641993791338,5.25008975548058
