Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
1013090_defaced_MPRAGE.nii.gz,2.42192689780784,2.21300100453174,1.59142732529074,4.80247723971066,3.62146821816566,2.68721653531898,4.3190596800804,2.30144954624006,2.68091677577815,3.37341221994633,2.53595650621978,2.88847104857599,3.88728449838438,2.50263143529458,1.35714340319764,2.62481133204411,3.05507475676342,2.77861803001588,1.5740343721741,1.95252329306218,2.42440432203391,2.0640194835138,2.32027143399772,3.24470147148562,3.01711138245977,2.51004054061962,1.92758306731665,2.93674487384324,2.4004737097412,2.18133284857941,2.95915273888776,2.7650385013656,2.46251335821407,1.63082852191565,5.00199597569471,3.80664918960867,3.06942575902456,4.44281957561064,2.17234220112891,2.30525949356376,3.47342532965255,2.08561215486764,3.25150944316006,3.86138237232948,2.69599335640851,1.69909692275823,2.72979982974177,2.95824407222163,2.57757756219576,1.37858468567204,1.98877637010274,2.69552902363328,1.99764691797415,2.09449619282209,3.54069348718633,3.29043480135799,2.53779336276568,1.99656933807567,3.10079177829429,2.92840917674782,1.77091246011059,3.01339650860074
1034049_defaced_MPRAGE.nii.gz,4.59040665201945,3.87583687957654,2.74781220987523,5.68084241377848,5.35008297742058,4.03544999345852,5.25631181674164,4.59612217078256,4.02382371309813,4.59270720979785,5.05562954599207,4.20768737613407,4.90730031355103,3.20663379156876,2.70920317691965,3.37051291201674,4.69228473516445,4.33942360287605,3.28373668320442,1.79186326196668,3.92864320952183,2.7558904712681,4.12157354671795,5.37675376429686,5.3407639498306,3.99126820639433,2.68858768720784,3.43005541188473,3.13020409852725,3.00472462659187,3.20614038561808,3.56934620885566,4.51012512409815,2.97255731534519,5.52419349739267,4.92982115829435,5.15002808350676,5.62156934057042,4.23723012214339,4.12063257506191,4.83739750638917,4.8509719155258,4.72548274604975,5.06232589433703,3.18208599936776,2.4714774358659,4.16331335589596,5.12336970614726,4.63401590799898,3.59652043688665,2.94970115600074,4.18806479295938,3.29250396885805,4.02285815464527,5.05542012189991,4.99995020861211,4.23015043411023,3.2832010889801,3.91733922540277,4.34170464736046,2.65653821911646,4.20514795886122
1097782_defaced_MPRAGE.nii.gz,2.92290468230009,2.54748113344994,1.7585444153716,4.85327655148419,3.85592907072539,2.68036491124443,4.27428054205226,2.53848991902605,2.59409976771749,3.31230450997599,2.97309403019762,3.05808763113901,3.72671793416318,2.63835794648804,2.20874396786526,3.14479409621599,2.6930872065813,2.72014065125188,1.17836142900739,2.23005873290119,2.53665481191492,2.64132312449158,2.58351463292807,3.89922790835062,3.23323750339137,2.88120876834144,1.98897941107288,2.92586030236335,3.15274278401872,2.13746310407921,3.12273867944185,3.10348243752743,2.80889265285741,1.77504822470128,4.80675392159481,3.97256452213952,3.26558005959949,4.07985609788915,2.71151276425381,2.6558918013892,3.33531068870855,2.39241982942443,3.23176234739596,3.65448429350465,2.73797520456394,2.04175821965495,2.87175406390953,2.74466331744984,2.92509050482345,1.85316660101105,2.47802242451192,2.81567501336305,2.48843348319698,2.79394606077511,4.09174260084591,3.74311350675157,2.89951933403351,2.04094762110983,3.01429789681444,3.35213440719281,1.99088642352699,3.43840380935178
1103722_defaced_MPRAGE.nii.gz,3.53163286938026,3.50776625982317,2.25730686707667,5.9970695142109,4.03916580131283,3.54572815034569,4.65687928929765,3.05240766446805,3.30625181495668,4.24724368470735,3.16604509593999,4.62519581459057,3.39901384366434,3.35968187475065,2.46413326801268,2.84016783635674,3.8183982561032,3.33160172017822,2.59215596452327,1.97742931651999,3.79404804650345,2.43582555284352,3.51332513740834,5.16918621090148,4.61814434897818,4.11868205149663,2.58431803476502,2.75961436242556,2.75806233826099,1.7730423316371,2.824493134742,4.52326735330445,4.03082103927877,2.67669301114705,4.88584331394852,4.69934088499592,4.63651140343362,5.00247977427259,2.97138418441251,3.68470313339447,4.27319354497443,3.39283070993752,4.58647608162062,4.28667175030783,3.14071814147349,2.36295068900895,3.44364576658321,3.83888912514724,2.87371927509891,2.64616650703403,2.33190790081565,3.90184674541845,3.06072777116977,3.10682957478892,4.53804828254521,4.32500104031678,4.31983548885644,3.27583366402739,3.34124124353042,3.60229071137259,2.03122793643151,3.70385399808454
1125244_defaced_MPRAGE.nii.gz,3.7438442672976,3.76435535708805,2.15824276377539,4.95158379376411,4.2105592667817,3.59871029884197,4.71409618175822,3.40432204470197,3.26292002934533,3.96300478946921,3.56621378111283,4.01550007513304,4.44429235778719,3.12553519082562,2.57797722114683,3.32117188068673,3.02450974237251,3.16823566906188,1.58785683790751,1.85626662057026,4.12829020554218,2.32797417676413,3.59174671856395,5.26354127105864,4.74346103924458,4.01132876817426,2.92496548183061,3.18665049087339,2.24411332384334,2.04959700767234,2.81825010608851,3.87802717591233,3.83697644706148,2.46501592569093,5.28578374936441,4.09635399045311,4.39154970428648,5.25154433061321,3.60024332864143,3.38637284584788,4.25676723016436,3.19917317570488,3.87347179051293,4.80264502251984,3.16090130164932,2.65168417182788,3.96216571856301,4.02798924013397,3.89304742395446,1.59507515962888,2.49702924857513,3.99509590291987,2.91001771008125,3.429196275804,4.76145937217154,5.1100685516079,4.13804735840133,2.97716888828777,3.99649859332236,3.86711337364646,2.6224207855659,3.76078652044246
1143655_defaced_MPRAGE.nii.gz,3.31527815617175,3.83437271526612,2.91464097567073,6.28491007734293,4.67099420666414,3.72222349243505,5.22971596469196,3.40376095323336,3.6036735380931,4.32065742140359,3.28508198631809,4.31445097393964,5.1482138088547,3.48037426438497,2.59510456820232,3.53695494524798,3.10156390024208,3.68935817896916,2.88675635147476,2.38169013893615,3.32015326601285,2.65090570188619,3.92223410717503,4.60671664897022,4.91934299240495,3.79819773876796,3.54877701085405,3.4790742324133,2.652193378928,2.32408821639708,3.02295931049772,3.68569062238298,3.82847333825704,2.66010129086691,5.79322100340002,4.50333423542852,4.8986978266326,5.33441702082714,3.23564324075576,4.13308673773454,4.26614362032719,3.09172238916407,4.44166349423632,5.26701727685938,3.03155491373226,3.10024717809849,4.04573864497152,3.32125354366498,4.21687554023455,2.56245852620513,2.38925097941596,3.92409140242196,3.20730069856745,4.0450930472438,4.49272341501002,4.89422984819124,4.11688704843556,3.77262931689015,3.75032388848016,3.66890013574031,1.91220005785389,3.65503835682669
1150497_defaced_MPRAGE.nii.gz,2.56919050841361,2.01833282935455,1.40560436723704,5.34590745968751,4.51755176675685,3.27937181277928,4.83847374279141,2.65943669904981,2.69123455123708,3.14809826208351,2.40121204837959,2.94100473215451,3.94963818200478,2.67235853453156,1.42964138947309,1.97279418268816,2.98849352747795,2.46020265859522,1.72427658987073,1.72116095346042,2.55474743358929,1.61025477290407,2.6861443761485,3.70404557535696,2.91005380886603,2.34681196182738,2.09743800761949,2.79302809036421,2.6849099404795,1.5263307744745,2.76774288912421,2.34431764304508,2.34418779280248,1.40852054760806,4.73253923103106,4.12203647832466,3.21834827045813,3.9906964739662,2.18865714185285,2.62692517019452,3.26496939795689,1.94283869501508,3.1984993681413,3.52479946119387,2.68208923122757,1.59457988455284,2.1321170370274,2.77817304217171,2.20428431856006,1.67563722553218,1.9265947596737,2.29648692613218,1.85380473715709,2.40923286625267,3.51052630471698,3.12501339396079,2.44456479641153,2.26977153140053,2.58873233975859,2.78902872943374,1.10824471430958,2.95326273071326
1192435_defaced_MPRAGE.nii.gz,2.19729730547359,2.30377520913007,1.59893181403318,5.29346443143422,3.45147152075231,2.38943165064559,4.04569177461582,2.05205202140931,2.82149520682569,3.02589178093743,2.35151173836894,2.99709570746478,3.5521496362799,2.80576417837166,1.47043259713078,2.35368370984152,2.35270874391122,2.1504925869183,1.59160086875203,1.51251443860972,2.26366278142679,1.85918239254819,2.08020262581616,2.91259802463714,2.59915390320368,2.37384230952442,2.01343825723856,2.56728741173631,2.10071969455643,1.90745197457593,2.57447037707811,2.76748300308886,2.39338175768414,1.75019152638092,5.09164635679462,3.12775037991352,2.96266884635582,4.06203627295993,1.83513780809993,2.68779709289052,2.79497525303442,1.81200629888273,2.87583326351618,3.44001007250739,2.90446581302579,1.77433580006409,2.52773095470444,2.38923626115386,2.55504557243863,1.43325577129677,1.99630260121135,2.78764517168673,1.88949825812591,2.13913376790762,3.46723180841851,2.6415088331052,2.37757755081292,2.01512045223211,2.83967568021593,2.39913886638107,1.28071876819252,2.66796203679986
1264721_defaced_MPRAGE.nii.gz,3.0696496008228,3.05439017743321,1.98482694172931,5.75629035027225,4.05718439222331,3.74356511031289,4.39195538504188,2.82385420068201,3.35176603701298,3.64123645605188,2.88897203266145,3.7747902823302,4.41625731619518,3.12316621798009,2.33165863086073,2.86543576475894,3.27116826721573,3.13327045473197,1.90490858639842,1.7272291940654,3.08513163846032,2.38866444367995,3.15755564346735,4.25820544602188,4.14559386268447,3.30727480095856,2.50752152739011,3.6210632654009,3.15277936640039,2.24013633022935,3.13374952998177,3.4071622897035,3.1596672758152,2.18341100947429,6.05761506230082,3.87572677022119,4.35475514762756,4.54649877837326,3.132133550231,3.2909347358557,3.68690818216524,2.86315277224892,3.76521774094256,4.75064839532315,3.01516347971413,2.3924783269763,2.72521794943806,3.29988394402454,3.43834084120106,2.18154730616697,2.33575159363472,3.4317078445895,2.28103924355142,3.31735093775654,4.30666822436343,4.39015638443921,3.47608805701399,2.80201892835316,3.5414802776166,3.43370767559108,1.88537769629332,3.54141640823413
1271401_defaced_MPRAGE.nii.gz,2.89823231362415,2.93637068687562,2.32842699944437,5.95546144152936,4.31124621342777,2.95807575163668,4.88141550997048,3.60958694683853,3.49863587894299,3.91960531848604,3.33240952696151,3.94792972219059,4.08618389812503,3.00293024523669,2.41811264762434,2.39670168315914,2.84156765930662,2.458858377105,2.63629168771064,1.54494770128997,3.28932104553977,1.92196312822835,3.40908602677908,4.6540506782432,3.61069173540656,3.43470371227319,2.58614546699287,2.99427980589595,1.8774004565073,2.03865243500516,2.84054110003631,2.91100718876195,3.65838465248424,2.58693387386288,5.97480268152958,4.07829612476518,3.89255463337142,4.87614400770763,3.73731611078891,3.17878796589029,4.01464301262186,3.23460220139634,3.97974015340395,4.50030853345618,3.39525282292494,2.28238256531613,3.43599168139176,3.58932365161166,3.26491218618477,2.66454468288488,2.32471004513689,4.01974327231368,2.70798863622028,3.94207281550842,3.92398680618693,4.06411809827746,3.78006751956588,2.82142190379511,3.74910494285128,3.19451623575779,2.20296113257713,3.50035790220749
1285465_defaced_MPRAGE.nii.gz,3.05370466053264,2.57987425375691,1.74051319576992,5.73983115415831,3.64632777656076,2.76646445337025,4.8463863971566,3.63118278575718,2.99233916136736,3.64609435030054,2.05337795693663,3.36451555364125,3.79832647442208,2.49139333823313,2.04314185929249,2.0294195643775,2.47049298983621,2.15846162587627,1.14867093215036,1.48297244280858,3.24315152580258,1.62765498580311,3.32133070606902,4.22328270908949,3.25115831816955,2.96007204676789,2.47768999736667,2.92221955631689,1.9739059459851,1.79671702117979,2.76066456599536,2.82542235116346,3.14889849285832,1.99965606475531,5.46806631935904,3.7235240497399,3.4462043223119,4.69055451026481,2.88435162197438,2.97730312203733,3.65524762722037,1.89584339627217,3.66990625370347,3.90625573695789,2.57140793555231,2.13515316153317,2.71680874093203,2.6573895627581,2.48714132673271,1.6446342154798,1.86977210293614,3.10341970924906,1.83269534745987,2.88230055447838,4.40182489591416,3.46418993458659,3.29204639834148,2.54068373884388,2.966146510021,2.7511470134679,1.78074296383553,3.21533778382642
1288657_defaced_MPRAGE.nii.gz,2.76489768112369,3.26437891235934,2.39952698905804,5.70075709882952,3.64641458995121,3.19545211489619,4.9382211083712,3.2439867490782,3.13950999249425,4.0379611324963,2.57086710991979,3.50670475453919,4.31579198526408,3.1469500178827,2.29327632570967,3.16775789595113,3.14177409204072,3.08659628367717,2.84317589912181,2.18487806131828,3.34799880728319,2.4885672497769,3.05963750120475,4.72128662866701,4.12330165373178,3.09389582713134,2.78999313198275,3.48673726742741,3.14599892785719,2.24430766178978,3.47045264406937,2.5124613079164,3.37977976220894,2.44967341486788,5.31481712636226,4.30840369752725,4.68279183418208,4.84103381491611,2.91607782347695,2.90813623671603,4.04225330245362,2.52592192240426,3.95548395981572,4.26821601693716,3.32588206162061,2.3988106363083,2.94321227462395,3.62702830081154,3.52703499007744,2.6132735144494,2.22963641059291,3.78920972686822,2.76897879639253,3.13056552581815,4.25966495177827,4.52663982580025,3.20182004977535,2.7967821646703,3.442428676046,3.47177763254229,1.83150767572394,3.60717710614084
