Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
OAS1_0001_MR1_mpr_n4_anon_sbj_111,2.61259519333009,2.51245586367157,1.35088564575571,4.80887943463645,3.81667177196421,2.89171223846444,5.19228668636226,2.35564691251134,2.99064905447571,4.24739294665112,2.32741531251154,4.80151223341535,3.78009493401086,2.38801731505084,1.84958547190514,1.84763037985978,2.63043691696916,2.29171872509668,1.1460631773408,1.52542733869105,2.27084731588505,1.57703627810738,2.53513628712036,3.46259779859081,3.03965054419114,2.77773504133245,2.02818756744813,2.56457578154391,2.16926710050327,1.23241991443293,2.78439020284508,2.70415948707009,2.78913142944374,1.82956941496415,4.86872505746889,3.91378055581993,3.24291311429657,5.23628102978778,2.23450390224884,2.56929977995599,3.52543387793569,2.53646212997837,4.97196270877172,3.9038027822167,2.38361324502584,1.92874510190468,2.18987841054482,2.64460194303755,2.48926832302215,1.62393915024457,1.67033422730649,2.18791129269787,1.51245633755232,2.46718637570739,3.2676436152789,3.59121211114353,2.96500760927673,1.80277792736081,2.86179104012228,2.48649489717272,0.901291544667078,2.83312218524668
OAS1_0003_MR1_mpr_n4_anon_sbj_111,2.63545590410225,2.01805921220528,1.6570665214127,4.07081295572032,3.09315349462815,2.55055297134385,4.77209035307094,2.46693077249256,2.44830205293479,3.93148324824749,2.43342055725993,3.66185720614997,3.96125101857492,2.27852114801732,1.79720305030025,2.01425063757901,3.28493586426005,2.58277359006104,1.46799971255418,1.5523215552907,2.27042693914948,1.77820735337385,2.48301417123427,3.75099950699507,3.00186021640551,2.45049843145174,1.78836606515044,2.85840334675214,2.51470937918665,0.842877661677108,2.16685292653912,2.68684229401585,2.40560790860847,1.23201248789326,3.4597909137265,3.37367966478277,2.57734295846267,3.93348906239895,2.24541759366938,2.28289360544558,3.47000013000859,2.18035116650672,4.27409692873533,2.95843440949888,2.52133147085134,1.45807158539826,2.04818530539123,3.73187287175064,2.76166875703835,1.02939941014616,1.4139283179695,2.42521233312272,1.78632546060544,2.27093994417067,2.35027537654773,3.74675398630732,2.91871000863824,1.62775635729775,2.51425964845329,2.13380075425653,0.799987554717977,2.4630056951195
OAS1_0004_MR1_mpr_n4_anon_sbj_111,2.91204581415437,2.87787010879988,2.26326190727244,4.62355279827379,4.75872472021389,3.24626706342161,5.35337203339702,3.18293471807816,4.08881572977268,4.61305470047473,3.75220586541986,4.56964512588431,4.11050645494155,2.30817957498337,1.87397059668506,3.04820297970163,3.33131130608471,2.80052228840588,3.10541833968132,2.00583907286032,2.56044092757318,2.15186939857688,3.17438759025992,3.07028592080759,3.75287909064592,2.72917693696155,2.47280566604378,2.88607749956951,2.82610706061969,1.87895077930201,2.9237824584153,2.34519305332769,2.43151592504854,2.12166106348188,4.3397648892182,4.23110935969966,3.27604255880813,5.21306979631055,2.83000062362051,3.46076800476596,4.82258224365093,3.0932355914625,4.99241426692289,4.38456465336782,2.13722589923976,1.75784879664514,3.21984479962994,4.09754674116301,3.63428948656151,3.00407799990306,2.13360945893807,2.55919521792005,2.00095366915269,2.95558676893304,2.70502631615798,4.55709856456849,2.90654074881059,2.15877682652366,3.2495086793206,2.60884873890151,1.58746195114439,2.75968018226017
OAS1_0005_MR1_mpr_n4_anon_sbj_111,3.48310055091473,4.01075096044387,2.48092208410113,4.68309244905498,4.53892883347968,3.54475939523516,4.72638305301223,3.9392225288578,3.63269193032166,4.37295881663534,3.90688954529755,5.52030417069218,4.26718487347776,2.96739388066937,2.69953593262868,2.94790799975189,3.91012962268897,3.06349985562277,2.64224679111968,2.33782056989904,3.67915711408407,2.19698687660115,3.87600179128907,4.9813485665966,4.59242716989058,3.94247364760892,2.8042918007922,3.35960532564979,2.83111039700905,2.11112901364589,2.90242082979327,3.60817248978766,3.84058322593587,2.13608936004008,4.19007586642948,3.81910977527643,4.26568123720974,5.13524526838116,3.00530211174068,3.1358016623194,4.75562460719409,3.15475653087097,5.53612482898767,4.3034335296969,2.53366820501262,2.58262534573982,3.43730335399101,4.24636522048694,3.82288344531736,2.74323400186215,2.35745843186757,4.0686041351272,2.8417525872262,3.31051957158404,3.75477530509528,4.71588377721502,3.81672625918337,2.53825564104056,3.24396844476125,3.31403788915628,1.31619876400807,3.56443494223817
OAS1_0006_MR1_mpr_n4_anon_sbj_111,3.65621976953693,2.95651633290908,2.31723201446586,4.59113116692294,4.06452612698033,3.70987995273679,5.14283924438551,3.06480153008592,3.44663015451284,3.87147451581243,3.40513251253096,4.80421402556511,4.3284239271871,2.35826383227639,2.26861965195781,2.47709684431958,3.68316624030359,3.03602457237685,2.83482088127815,1.97387234559171,3.3804604058224,2.13123150798502,3.25384983021648,4.31301969141844,4.01572671232889,3.34674657400936,2.36003693476698,2.8941607788049,2.3899357958598,2.07184434868175,2.92827041474548,2.92317353688901,2.68548681956686,2.13120407744886,3.95094960937067,3.75793644062408,4.10144356566367,4.75658082866116,3.0979239866818,3.03295831147548,4.50708952483923,2.76472451740471,5.06182274590009,3.72649885592117,2.16602389668036,2.31462430150024,2.56605311394292,3.88929857007201,3.08003375340495,2.33545862451196,2.17514684991858,3.47303704784793,2.19388910764362,3.26963898952317,2.59702840000301,4.37977943837217,3.51878144964197,2.60725643564706,3.10041252012941,3.63775910886093,1.94289725474345,2.74579850927482
OAS1_0007_MR1_mpr_n3_anon_sbj_111,2.87754149592914,2.7574330198318,2.2135057574277,5.23139676285482,3.26367801383981,3.21835909775573,4.93645583527132,3.29488253997668,3.52838994119446,4.11247190630349,3.31564682032161,4.47350308272353,3.9618824614294,2.98389580348228,2.4899932997876,3.36661435843282,3.6507618803205,3.64825885557245,2.56547527636562,2.03528949462966,3.4327183047984,2.44071299429228,3.69480322472182,3.74739905474496,4.74632295965281,3.21479762627776,2.42861969673867,2.95105351079098,3.08806347556894,2.24004118918282,2.84036129196884,3.11798876600047,3.24501232679469,1.88650304071756,4.54584116024299,3.57120904705615,4.48638884060236,5.16853540617995,3.44614331827787,3.42730800606283,4.33123143681941,2.60985418299357,4.68269142764221,4.50511009933411,2.5089318920032,2.21142264195243,2.89277456854377,3.34609205923615,3.17532907441817,2.04531313383533,1.78662503720572,3.45229234948888,2.35358867494311,3.53467722836283,3.44008942662727,4.25628151696363,3.21731972539607,2.34362828221446,3.17962142948056,2.9499711139293,1.52807694795846,3.05283295368624
OAS1_0009_MR1_mpr_n4_anon_sbj_111,3.73495578707258,3.26940324393777,2.29735003178004,5.29884721130146,4.79084226869757,3.16518750131427,4.89917646942067,3.81929468689378,3.92920807692395,4.40545646367485,3.84266765047346,5.06065361950526,4.54600007080269,2.83779452317225,2.51502727101027,2.64319216029938,4.14597535843126,3.20856377319788,2.66768172302569,2.01034873555866,3.84047287610401,2.27031799782806,4.04755430891826,4.64838421710209,4.30546578634927,3.64809470592098,2.6446491189498,3.43479975907505,2.62343745444873,2.59701359594638,2.36318946359905,3.84681059417074,3.35202182366431,2.40106797518721,4.34194359293454,4.63337738831121,4.22566834895044,5.82962114699745,3.53662308177661,3.45692840393629,5.30638249637254,3.61073746664541,5.76456127171808,4.59114247302365,2.71939695411546,2.56274051423705,3.71183597321386,4.790609968816,3.92420054549162,2.91514371949428,2.3457327494474,4.07556437058063,2.69637776558526,3.70065879039694,3.81086521766853,4.34003908913692,3.61994276290638,2.69163540079074,3.15923437851368,3.17783325350162,1.96715598984267,3.03608061178816
OAS1_0010_MR1_mpr_n4_anon_sbj_111,1.44157451368623,1.9358251610786,1.47500525302491,4.77090876192446,3.18572724842825,2.28617250437688,4.51979409633874,2.18828598660703,2.33600107280314,3.33585551147049,2.08070646899922,3.2339275388469,3.24569348088127,1.63675612530129,0.876947255935847,2.29697519072659,2.93141117654154,2.29744953327902,1.4528612493978,1.61641568470026,1.63688184799874,1.68472018332514,2.01323082927536,3.25779278105851,2.5797925831259,1.97267730061814,1.75127752813159,2.30451228456178,2.35404206800676,0.86934803470017,2.02757767991325,1.71152206701125,1.94371661562903,1.12808771257792,4.22689261609214,3.59576666661776,2.81244710212272,4.54493640913521,1.94667193709776,2.40916757926526,3.36874991791416,1.88771880574248,3.56775779637751,3.05233017163319,1.3701770684678,1.0714671446512,2.19025247076116,3.20555417949193,2.55707826585576,1.37871695859437,1.50287600571612,1.6161581203694,1.68140648730103,1.87922164016403,2.82649566385565,2.62617026713195,2.18145389190711,1.38716963865639,2.25689062756406,2.45668905809798,0.647453849146396,2.08864275426148
OAS1_0011_MR1_mpr_n4_anon_sbj_111,2.63314751919765,2.20372742415532,1.85175537520809,4.34276845322223,4.12004007945146,2.69926462566013,4.69011406965205,2.88233979447379,3.14785757221088,3.07352300455449,3.14712582436094,3.6347140998095,3.78787987384749,2.04415211612633,1.80600287487632,2.20552895114311,2.83545685210374,2.63932354454366,1.96511320966208,1.70530002228743,2.28671664976751,1.99655443103686,2.73083953165998,2.96358818928469,3.65922159107398,2.58193976562703,1.88539148789857,3.02589999469629,2.31972588047345,1.819723238018,2.59684134633166,2.91867875635105,2.24119098142636,1.9522970428224,3.22713586244535,3.9632013158969,3.76096231440915,4.70314303430822,2.9852623213927,3.17106659301667,3.49624643212594,3.12934026888555,4.38506503084222,3.79689993298918,1.95835644139874,1.71814385468951,2.49543053222796,2.9077721805337,2.52699762817966,2.42884865298285,1.70531885278243,2.5915678731101,1.87562290783525,2.49464049585794,2.58339229897927,3.40617567393829,2.88101474100438,1.90826115594626,3.14710248700986,2.81307631197555,1.71825233458552,2.93972408221428
OAS1_0012_MR1_mpr_n4_anon_sbj_111,2.39333630715485,2.74882974034337,2.31085546386964,4.98896962774582,4.11192618116425,3.93275078239571,5.69194810453064,3.53284080811904,3.91970551121547,4.32772437168836,3.91314467651886,3.71731723474383,4.5818720275592,1.99428715661405,1.89538915041737,2.45521594615609,3.1843066439986,2.87616263940338,3.03313925944278,1.97688598103522,2.33958892471535,2.23117049594097,3.57418625356304,3.25561662923359,3.90043850003512,2.92612681456044,2.77178352843814,3.16482973363453,3.25250890422637,1.60120289599615,2.8556195887626,2.83930421674235,2.52495349117015,2.20817965470362,4.21308013005658,4.3678942379091,4.53327868903523,5.62826458937363,3.51569987745523,3.92635134789545,4.3954248377661,3.44484906912616,4.00157974617629,4.68572466137416,1.90578068078792,1.86797320845011,2.57031313213063,3.37919768823752,3.3389663928869,2.68482590276295,2.00735634275764,2.47771212961448,2.0968438023572,3.13687002831116,4.15409805353763,3.48618362639379,2.89985041993783,2.56196411754048,3.40180474966976,3.76895319906747,1.27674929466908,2.79799873392107
