Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
sub-0001,2.62131190511968,2.38061996527872,2.44071537589217,4.01631222750783,3.82344520611187,3.12508938085772,3.68994870201207,2.94455714779968,3.13242576272373,3.0255955914601,3.05911956273152,2.82352069927923,3.6406159888082,2.9113438835447,1.93744554079984,2.51972302939812,2.92300167772011,2.59086452240279,2.21776542512636,1.86666717191509,2.84219393573833,2.1904314112862,2.80260728445987,4.26161554519532,2.69337305987037,2.51279845663298,1.7478085784001,3.09977110549016,2.66013609989374,2.48043006849853,3.82126679646239,2.21233817155014,2.52161107875178,2.52407353250961,4.67664630401959,4.14956981683093,3.2346390511882,4.12601162472115,2.9722187607042,3.09150317044005,3.05144851426235,3.31802126106825,3.06613820517296,3.84683275076152,2.68271429312103,1.97435382973368,2.95074947136156,2.85556821244682,2.5878247832441,2.27895909410221,1.88539684017654,3.00672628238183,2.15685187648013,2.87967579605095,3.62282772923382,2.85490878727706,2.81175658670873,2.09920626562404,3.355212488065,2.74519718695795,2.58138591404725,4.11292234671506
sub-0002,3.70272034396896,2.45798336336145,1.67915339712722,4.60434806285883,4.17463886678342,2.70293023789729,4.18008725602591,2.9178931768131,2.74919237762301,3.33719414448711,2.79480854862256,2.77085970894266,3.72752310260602,2.95854773446891,2.37758958395396,2.55676982812425,2.86039494734917,2.52454169408328,1.07198482530616,1.99287616084462,3.13379908726123,2.23318629504692,2.57732938722665,4.17931501415941,2.73640346698783,2.54554456684477,1.78339852395082,2.97829876068928,2.47962944745522,2.69820231596879,3.64550652705536,3.47776520153876,2.52967490531483,2.33316862868222,4.47530710868682,4.63663740165247,2.94731359965647,4.2029117559893,3.05806524319436,3.19423767733596,3.47039374004679,3.10365493542047,3.51174003982056,3.61174353051112,3.03787563802541,2.27014001338672,2.86837855214192,2.98558951069437,2.68853079880539,1.43232483497141,2.04024075912802,3.0214559773254,2.25286441704321,2.71473626302404,3.88520665739668,2.88114562947256,2.73020460621115,1.95225348788967,2.81095377171608,2.61291628022516,2.37709372089693,3.84111806979732
sub-0003,3.31976027568523,2.32016396372426,2.15427771880238,3.94538240857874,3.9754147252678,2.84382811135849,3.60497963231878,3.11192254341326,2.9406552204322,2.82614140715395,3.34529694177591,2.82812886624321,3.66001092456382,2.66927781814884,2.28922482125896,2.7349863736232,2.77843816871009,2.1895731910561,1.74898453494365,2.02398184501379,3.25302269760941,2.21155730251532,2.56446788952611,3.91546509444223,2.46457080167365,2.39229590419411,1.84139611053178,2.94568974580342,2.51418686399715,2.94429902898595,3.68679061177422,2.72834929686853,2.66082189278749,2.36742927653112,4.84798969252635,4.71387931880838,3.42474879756877,4.17216784550041,2.99226269877309,3.42309497045731,3.36409383810431,2.8872275306839,2.86123484594138,3.92021990874936,2.65314093632268,2.18441973643058,3.16799180923671,3.08303627564938,3.02159728531699,1.77044210753249,2.13459543768438,3.43041624444484,2.11543125432024,2.86438318808845,3.43611122975878,3.10720455966939,2.77869422108387,1.98134649505139,3.09689126589835,2.6553570143391,3.05100809387474,4.41389554315332
sub-0004,3.38137164848239,2.43975539924739,1.89554042656421,4.86448466080979,4.23718300357038,2.94743799694792,4.20594416646437,3.1816971803193,3.18157539173247,3.16931602001691,2.63324578461931,2.92570141391343,3.98510927008003,2.87392967828904,2.21021511144487,2.82414306846644,2.7317857139638,2.90068346470179,1.12506181629465,2.08994086460503,2.9324137685187,2.40690637892398,2.93151521898633,4.46711248910098,3.07157233328463,2.62090779503286,1.96123330229524,3.33636272640089,3.05288611006499,2.55117695867854,4.24977823193198,2.84281757302796,2.55841256309264,2.30066124649935,5.00610992262334,4.95438356971069,3.87098174024834,4.88637405575049,3.14425877877911,3.58786338988375,3.49010008076254,3.10157007277739,3.31122178130223,4.0459437364083,2.99133336532467,2.12680348254853,2.90871973967423,2.95736572005007,3.08455510603431,2.11031042859591,2.33274022929433,3.27145240221199,2.38519208596644,3.21982480171995,3.93301229345319,2.91570750404336,2.79073960536363,2.12043180590524,3.59299793156589,3.31089857639599,2.6836120798073,4.54373536510616
sub-0005,2.93404361266276,2.11178346512555,1.18028420266615,4.31236203705412,3.35593463208512,2.55820852447757,3.80181356234944,2.54914606715372,2.6290680688716,2.57714970692312,2.36750488706381,2.4026129864083,3.42249801373137,2.34446579599769,1.75209758710141,2.11146293517413,2.15871350419463,2.0669095109185,0.850661505551375,1.71767150236078,2.75002436692508,2.02536084977322,2.23751568887345,3.76231125160951,2.3946069020333,2.19313686183618,1.66879883243819,2.87762236372416,2.37421732328421,2.48163539500871,3.3171958996923,3.01352815699326,2.12538409956894,1.33498877995289,4.73404079027022,4.09857173614124,2.87998869055531,4.14842081250648,2.69354579891319,2.92528259247282,3.04411761560488,2.77687150417536,2.92574016151056,3.62129132844252,2.52733513247459,1.70117923581593,2.37398451189388,2.63269493721907,2.47201531526805,1.11862855188541,1.75950957369726,2.88502276217632,1.88430425010531,2.55465287217022,3.93494132463874,2.64625009105314,2.49186091366028,1.78198085886336,2.96131646207202,2.54288217520179,2.39549680837529,3.92100353663008
sub-0006,2.82104505458398,2.17255698246469,1.96162756725903,3.74412593322696,4.20826741352075,2.89544137747712,3.95521994583157,2.55330812150492,3.64497821190933,2.82196015360089,3.32806937488414,2.61786980448205,3.64537803083756,2.41601515774649,1.70224523423115,2.2908751883056,2.40420494982978,2.34242720759781,2.11754281914007,1.83170181648933,2.50549824133279,2.13787277477034,2.47429140896437,3.49986381076877,2.65144284182968,2.37188991878991,1.88162621842121,2.8889888098407,2.7390963439271,2.49990166526458,3.0765577222139,2.94306564005884,2.42089252210555,2.12452870113743,4.35162376583965,4.82522913578246,3.55164262817704,4.22189397315765,2.71004860314203,3.61530944855109,3.29836616915892,3.33293499762568,2.92410021489286,3.60056770185151,3.15664856823271,1.79523321690367,2.67580236862379,3.07637950770995,2.74372104907491,1.86245877731548,1.94986583646488,2.61407450078587,2.17977543935721,2.51476319874982,3.51721839671058,3.10801778728953,2.65917731865561,1.89522002193773,2.84470971858324,2.92867406461883,1.99944331935985,3.48846565339252
sub-0007,2.78251220303439,2.33035153440552,1.93343427435934,3.85752641163158,3.17943641629338,2.71336550918451,3.57420574348973,2.47024447460507,2.58620988321277,2.54260866313577,2.50297067097788,2.560674302392,3.12395223088361,2.63616719312146,1.81946611163082,2.23658369946347,1.77263591058538,1.91477816715959,1.9489490963327,2.02272228877243,2.79025423768904,2.13039043244401,2.42935382130796,3.6130303453462,2.34294707161527,2.41956780585982,1.85410774366708,2.41414271485107,2.50180189102358,2.38877451654374,3.58729165393116,3.06200526597979,2.44241076308529,1.75120598423912,4.94322832648224,3.70630136955742,2.80845118461712,3.83356400519955,2.70114616988739,2.62517612066243,3.12206534903958,2.277624091902,2.55746385786124,3.24675838624085,2.54753993457883,1.83622844876271,2.74331921361126,2.57577923787907,2.40487903251483,1.39898625989378,1.92019518949808,3.26197596502184,2.00336065419256,2.63102627975825,3.62009846622377,2.4991543605148,2.50025914223174,1.94624512665529,2.83469120619163,2.45769837758837,1.94399646259115,3.81985656532278
sub-0008,2.96218172499885,2.07189489235029,1.88852962226117,4.3461445363875,3.39673405038649,2.81042126671817,3.85319245641303,2.53348405332286,2.44419559822739,2.75844895532933,2.25611031259366,2.80356226162115,3.52054625112628,2.42929438862517,1.49217856066378,2.43881145036981,1.900748006581,1.95038834949776,1.52443931274824,1.72917830725787,2.86726542597872,1.72730423757404,2.45333751102313,3.8804531190142,2.62604147266953,2.24444133545681,1.81772129137431,2.78948274187335,2.45047836968273,2.78651739778583,3.7847371120274,2.17253009211054,2.09590424534874,2.20945491614526,3.84121556503363,4.39628900003898,2.71186893515006,3.91224562479436,3.09243879990623,2.63236133409365,2.9518161837926,2.38557535284953,2.83040828842564,2.98166431143867,2.82545873569209,1.74448297120998,1.90636867499268,2.26430014336145,2.01853379114814,2.20087383422368,1.83997212107577,2.98396680219661,1.53284187352998,2.94116229033192,3.30482529934344,2.88915510728844,2.43699118443826,1.7879767270949,2.31246177341999,2.20503152708742,2.24310182459307,3.78779266729449
sub-0009,2.59745173205105,2.19011866134384,1.78058995999063,4.31109409078197,3.41531313144086,3.00522362401439,4.04613360091812,2.45762744686879,2.62002212635025,2.75293807324072,2.14137001586436,3.05245851935138,3.77299945699145,2.09093279816698,1.70902829723365,2.20724095429305,2.34165476727614,2.18832091999869,1.38873641773501,1.74318185491586,2.20420439983941,1.99205352067513,2.57817435397295,3.80811442400914,2.55238268576791,2.26509623944754,1.94255448778614,2.87147211088821,2.49340131053991,2.14110654477026,3.3033621775821,3.06695312400687,2.44117274684871,2.03071035837176,4.52478034551796,4.35295419258549,3.02569014675482,4.38494994615218,2.76053769383579,2.97327779021385,3.02619787517871,2.35271810823017,3.24472966943806,3.56361173215295,2.72871752174035,1.79126412638974,2.45347672310567,3.22938044244998,2.6143667091991,1.56913609323408,1.70653197838188,2.38881357622349,2.02749880490792,2.80682533024641,3.4860585427034,2.85004963326931,2.38843857528974,1.9157705364792,2.99488168099476,2.44883240713335,2.61244598721642,3.50722371868452
sub-0010,2.91652355851053,2.36100232994748,1.98394368047633,3.62150952430171,3.15772622797674,2.80967950969823,3.71142512653517,3.03992738680533,2.7696614147631,2.64262639493066,2.40404486658633,2.63412059502736,3.35329703267871,2.33834608392431,1.88656274262749,2.35241337147549,2.15262604551769,2.25129125922743,1.52845214746802,1.6806832363486,2.84207310171459,2.04829890988918,2.65693442691876,3.50679630984285,2.59621493843547,2.44687236209014,1.87227030612265,2.60351510024438,2.54494467328041,2.34070898988195,3.37247133373438,2.47551401272063,2.3833850772633,1.89589786058423,4.124168653795,3.86155440231843,3.32926507176715,4.06007898670482,3.12220131819728,3.08229652419729,3.15576432894623,2.85648891981137,2.86424135148391,3.48392774622324,2.3997500561111,1.82437774868769,2.36493455334533,3.15861178559525,2.49341627327083,1.60582446366539,2.03112987542009,3.31769919103277,2.00065419255062,2.58819740850928,3.07971046558614,2.68853421202738,2.4921154968309,1.91317518002618,2.91102613138961,2.97175522428435,2.40672725505194,3.81223286888908
