Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
sub-0001,2.35164906287801,2.11946969442143,2.15549918815135,4.78693672036382,3.38937923594172,3.35636993401787,3.96411101601862,2.9348358642025,3.28925610961699,3.40731449864042,3.00328945637083,3.39393338287982,3.66618207996185,2.75367828047077,2.15138834267575,2.1841965222449,3.11997165985819,2.73865256331726,1.9791265315085,1.91049196686014,2.9515364771851,2.03852842704123,3.06510477981085,4.19798944877573,2.95300030286537,2.79167250736455,1.91308587566631,2.90988637043258,2.49814835761456,1.85856999981971,2.81934002212181,1.54941970921838,2.87363038967635,2.29711273382542,4.92824208955926,3.74717699651566,3.44624464968809,4.08084128357867,3.05494055840144,3.06452417954358,3.60134494239391,3.00173371332863,3.62693342679861,3.73256388374036,2.61483611270907,2.12708951252417,2.99068899953707,3.45423943886285,2.83722269058992,2.09304899541584,2.19562991823651,3.02451554147344,2.36831394592944,3.10572262111002,3.64140898217296,3.62235909186744,3.12077722424152,2.47251520742473,3.38317107522942,2.93004884924935,2.18656081837766,3.32744266016895
sub-0002,3.25113645668959,2.789675594485,1.63129186878758,4.66700577378193,3.52371816040515,3.16208249820846,4.24531419750187,3.01615213692491,2.71312515928274,3.79643425928983,2.74265820158861,3.11791319678079,3.98307357985973,2.65679565431562,2.54655959002683,3.0072344162408,3.32872604819214,3.17566689746327,1.62852045771411,2.27013452199207,3.50596022839359,2.41539536628848,2.97217688882898,4.23824005256866,3.61739195050673,2.8017930954749,1.83019250456403,3.23920575528562,2.7609115955689,2.64718938880967,2.94378580247397,3.55649262578895,2.97031258859714,2.47152204537177,4.81825162047562,4.19437243085023,3.62647418376223,4.1309075759376,3.13876656519307,2.98280491982971,3.80943710955285,3.19130246289227,3.85895157141649,3.70405536220079,2.63941273163714,2.36232390864043,2.94156298987339,3.03807196391372,2.50692478761979,2.10884940353073,2.26070331240023,3.24341187388861,2.44455103461541,3.06132271895351,4.14634865409262,3.36097763907271,3.14610255692018,2.07622572639522,2.9254316521838,3.0087674536705,2.13560487125812,3.33211044248561
sub-0003,2.72489305776405,2.83931433646284,1.79214495007751,4.50701238878545,3.42914878606571,2.65866489553395,3.77612086455078,3.30311076949936,2.76221254709718,3.34755713848793,3.20436458065573,3.26904452613375,3.72654890351494,2.55219258130458,2.31875876533178,2.97140432183427,3.2289737652358,2.6060784218813,1.71023875130349,1.98975371696124,3.31923835553024,2.1825807029634,2.71641803018138,3.53595487651343,3.47470254516242,2.73533734866599,1.94075209362453,2.92606525339886,2.41045257737268,2.52049931909954,3.02823799645694,2.4035814973354,2.83570888787326,2.11976018360348,5.09049192435347,4.2085153174756,3.79282864945418,4.40574654381142,3.20196478531023,3.2623292895289,3.43147673466937,3.02289040483724,3.10675827510343,4.06064323315749,2.83211849215575,2.22386991208542,2.77478473421996,2.92918112895555,1.81258037080298,1.91856880737091,2.13389158783622,3.62229026651824,2.14263390639508,3.08745338167791,3.20599120259285,2.7303543404736,3.13594863616532,2.07405895382516,3.3383606515597,2.60507462323,2.76566843969177,3.43436154682166
sub-0004,3.27308290943138,2.97510485685759,1.78645450829343,5.31274082692413,4.02358585706998,3.06196726150786,4.74005779815767,3.05979712095122,3.23392220380549,3.74733057786711,2.94850588341144,3.27403827390087,4.32210392901543,2.61957898436725,2.29875136106202,3.07157262295654,3.25632295785439,3.28378705443078,1.42180019190733,2.39798768671279,3.28078308608803,2.57371103252639,3.29438721140866,4.54337842834569,4.36218458977629,3.27738489438261,2.25477700605205,3.53834732394937,2.97261767062521,2.60583396292028,3.02169700881141,2.53876534276173,2.97151706228565,2.23740919899491,5.1188332278945,4.94440751589721,4.23553457161194,5.64262567046493,3.18106704452055,3.38168054243405,4.00592595481839,3.08961953165283,3.99021449141086,4.37379230915386,2.94138723756132,2.18962677729891,2.81423248295785,3.26678089379837,3.07936396329423,2.09928864948726,2.32277869764016,3.53496799295132,2.52880669832389,3.54987584370081,4.23304683097711,3.74832986257703,3.4574645420922,2.43464091499517,3.77206205064032,3.33568084637761,2.52097325896822,3.58291636626584
sub-0005,2.88392075238913,2.37846807331524,1.0719561366116,4.59046184003658,3.49010271280095,2.90068775113875,4.21422276621812,2.85445448026057,2.82940812444723,3.35392605063117,2.69980183490811,3.11092813686196,3.80719322666358,2.56781866341052,1.90179982479544,2.41388299535733,2.73630084439292,2.80880293505117,0.859398339934913,1.92413539855023,3.19707588290089,2.1957658876649,2.42382493992462,4.02745167969086,3.44275343718295,2.62512024435008,2.01288965948781,3.06399542841473,2.67385287972551,2.5379785644404,2.84360243994908,3.46154445425314,2.08517436039438,1.4277013183487,4.96798727685953,3.7873896775987,3.33921715225565,4.39920100803005,3.00288749579836,2.947766558955,3.45140081466171,2.58975888358707,3.44345660218179,3.97050153969994,2.40799571369399,1.97398543019478,1.95257656448319,2.6534256705144,1.50851148330233,1.25027875659379,1.94742169348879,3.25643443931411,1.96530803415259,2.81515449391064,4.18462475335588,2.53940873529941,3.02554752617474,1.91839462377597,3.13280734637371,2.64657438323069,1.94887883795632,3.09818304932035
sub-0006,2.27369228116375,2.25931576694547,1.84395621258722,4.08686110944877,3.66852030375651,2.91818096601137,3.88322569505782,2.53936998410186,3.07585832691982,3.20138126987863,2.9784800547949,2.57531321876264,3.67459553593723,2.09577447068343,1.68247620040125,2.42977911788603,2.76168203150045,2.80864691674107,1.86580473477464,1.8472002794002,2.41356299806873,2.19102505448426,2.57850582592429,3.57764493833445,3.44246239099216,2.47322893894369,1.96725200124721,2.84575123665783,2.80244098020256,2.02958336757534,2.47539974645394,2.7177403717887,2.4893187350596,1.90594659386298,4.19896413894063,3.93633420186464,3.73582203870824,3.98979498334829,2.53804830643539,3.13537676157779,3.20478578594869,2.91599841600776,3.00189898886962,3.34988391565235,2.53289568113708,1.76705208285237,2.40508211865738,2.894050452292,2.40515942487831,1.88318870326253,1.92437389070197,2.51394087532532,1.9675455335775,2.46435776655008,3.45698078243405,3.38938626464856,2.86103540482847,1.96902077274163,2.69334644349337,2.96135545265402,1.61848595041594,2.84220399682081
sub-0007,2.60162185901551,2.76422084821069,2.01739871591644,4.40598261314186,3.31487713190818,3.04505577308984,3.98716899072554,2.99477171240098,2.91382874575214,3.37528995284837,2.76261377298868,3.27466074302112,3.83352626218512,3.05210499186193,2.12972160213749,2.61699641901173,2.25990242855927,2.45081494427824,1.82559636863716,2.27795227038661,3.20971487639352,2.32602218258742,2.93880686698942,4.19273287546886,3.22326192596563,2.81985534317883,2.08967098943046,2.78679122542062,2.77038970408089,2.24173939032546,3.22232520071172,3.1944089716131,2.62659201080616,1.99637994371497,4.5521957036426,3.92870859333213,3.51961318883105,4.41342516278426,3.1234552037727,2.95902235561143,3.7042266256335,2.72631911656986,2.99000361362489,3.79474281638373,2.69381601738785,2.11926911176347,2.64934704272724,2.90650149507136,2.41437625852616,1.874509647388,2.02556323735031,3.56403179723128,2.17113931487756,3.12570339379128,4.13305510757224,3.05670961934392,3.06990060380746,2.19847788789765,3.00629405554498,2.61485984082061,2.03213001241021,3.49856199711897
sub-0008,2.91769301751022,2.33600434525178,1.82137551874919,5.43390805115054,3.58529751477522,3.09426655192324,4.21177479044041,2.97858608415658,2.62305469146342,3.30790540952703,2.27139747751392,3.28404729467893,3.9171160846399,2.84262003840228,1.74135059597646,2.34234137547704,2.36552899647709,2.18538659372093,1.40758672950785,1.73470212022317,3.06057735694624,1.89116778745736,2.76946088476232,3.80232561229502,3.06300635482595,2.6245638760534,2.04581646889218,2.91590231832389,2.56594228941919,1.7058576362413,3.07200976941267,2.13385050996242,2.75645605739118,1.92102279219516,4.50727691821028,4.18292765256485,3.66834468754144,4.37664116911274,3.2184513068032,2.87966412867467,3.18822033691034,2.4682277235882,3.28878794725389,3.74889504561578,3.2035877752533,1.91697003216397,2.73722735898597,2.64787183074878,2.6878181468554,1.96709696661778,2.42343626715948,3.10083878910283,2.11251628793964,2.91684000824657,3.48304389580153,3.75479074222429,2.95544230444476,2.26687402961674,2.97921141070985,3.26306557539243,2.26896761862529,3.28920485871712
sub-0009,2.15503671867916,2.32579647695791,1.59350559098096,4.20238822902364,3.28584393897593,3.30457560152184,4.2089947974643,2.5366141767189,2.62864380181549,3.05189622583982,2.0394859933782,3.39130443393202,4.0325151646415,1.95277703126335,1.7874760155359,2.29856885426098,2.67584521241502,2.47909764451737,1.11398229598597,1.97939450331833,2.04360505762516,2.15800499481256,2.69208205000175,3.87635077212996,3.17995118247639,2.44655691604373,2.15877371202427,2.96041942945997,2.80653351982453,1.80505908721386,2.72454439933825,2.77943232975592,2.64824158329682,1.64088762263201,4.5251150812149,3.78415947988099,3.40447094537977,4.07855312542079,2.92559057488736,2.63123017554907,3.18089476003937,2.07695390176464,3.87640595745943,3.60209583198701,2.41068260228827,1.77071280488492,2.31245433519631,3.36942517911974,2.6703581319827,1.3463498991387,1.79697555069555,2.25367829257699,2.09983317628187,2.81056671816648,3.39652384484831,3.42020374124391,2.51109331079803,2.01651376104506,2.9867117312382,2.62373651687475,1.92006653365288,2.51447704351611
sub-0010,3.00778526452463,2.67125878913564,2.20578404850735,4.33553315759183,3.47761404874347,2.95617489786759,3.99305910159601,3.21535615569951,2.94686523421656,3.49361481028479,2.95557471024209,3.65472956344682,3.61538921474605,2.73807677989017,2.18782467649513,2.3559239967355,2.54505413445041,2.75867973908048,2.25716446195505,1.81367752013077,3.36653212937386,2.00398457547281,3.25642762374991,3.75075767447645,3.52860287558329,2.97259889311718,2.11781840877756,2.69615093432877,2.28572318755889,2.20023391963636,2.88827933467921,2.58966734206554,2.90041780105327,2.04935061090568,4.82144363771326,4.07436791947796,3.90849923047793,4.72656355581271,3.27740589805727,3.3052064647013,3.81527391419525,2.93302090801377,4.09193764683279,4.06793123937221,2.7831827281029,2.29970474866294,3.10048143041886,3.99965387133716,3.36458932313237,2.1154914854709,2.57654565377996,3.85979174928863,2.50522489158558,3.00441937032425,3.66673302382699,3.85932154475808,3.0908993571575,2.40924098210021,3.23872115830253,3.58446312029378,2.5004224915234,3.63409817796977
