Subject,left.caudal.anterior.cingulate,left.caudal.middle.frontal,left.cuneus,left.entorhinal,left.fusiform,left.inferior.parietal,left.inferior.temporal,left.isthmus.cingulate,left.lateral.occipital,left.lateral.orbitofrontal,left.lingual,left.medial.orbitofrontal,left.middle.temporal,left.parahippocampal,left.paracentral,left.pars.opercularis,left.pars.orbitalis,left.pars.triangularis,left.pericalcarine,left.postcentral,left.posterior.cingulate,left.precentral,left.precuneus,left.rostral.anterior.cingulate,left.rostral.middle.frontal,left.superior.frontal,left.superior.parietal,left.superior.temporal,left.supramarginal,left.transverse.temporal,left.insula,right.caudal.anterior.cingulate,right.caudal.middle.frontal,right.cuneus,right.entorhinal,right.fusiform,right.inferior.parietal,right.inferior.temporal,right.isthmus.cingulate,right.lateral.occipital,right.lateral.orbitofrontal,right.lingual,right.medial.orbitofrontal,right.middle.temporal,right.parahippocampal,right.paracentral,right.pars.opercularis,right.pars.orbitalis,right.pars.triangularis,right.pericalcarine,right.postcentral,right.posterior.cingulate,right.precentral,right.precuneus,right.rostral.anterior.cingulate,right.rostral.middle.frontal,right.superior.frontal,right.superior.parietal,right.superior.temporal,right.supramarginal,right.transverse.temporal,right.insula
sub-0001,2.36318690826496,2.13283554233385,2.1424568829247,4.38489428357553,3.40932773094427,3.31101498683519,3.96350554369941,2.94670707081988,3.25766515746955,3.38347034834428,3.04238102664711,3.3262074111328,3.62886599764068,2.66284337374997,2.15056009906575,2.17349187100074,3.17337319742403,2.72901889283258,1.95039440918642,1.89143922899874,2.96327412852954,2.04121342850404,3.07263278308354,4.2447748147354,3.0390446330776,2.77579197612622,1.88214895668032,2.84391704691331,2.42903099409657,1.78928581836089,2.85828754665293,1.5645437081371,2.84580688994477,2.2920220248579,4.72790821719401,3.7367072932056,3.42991250075213,4.05329651394408,3.07535148196575,3.0398439582993,3.61157334939551,3.01337640454749,3.64581542949299,3.76731147482481,2.60918645876654,2.15193676433053,2.98313387588013,3.45470882658064,2.82400587081736,1.98952130388078,2.14642479059939,3.04608233740399,2.35294635944418,3.09730131181171,3.65267061350376,3.6198854410407,3.09878072143705,2.44110295157992,3.3485678123715,2.90393627765663,2.21732242827651,3.40257967135716
sub-0002,3.29321411208409,2.80629563682775,1.68716256418918,4.43786230152273,3.55453892434324,3.15984554413487,4.24055390832302,2.97335255466099,2.75019019931411,3.74672542745031,2.77498366237363,3.11057358234426,3.99697960163321,2.51952840869391,2.53305201664388,3.03029214830713,3.35069777975947,3.09055954621418,1.66272768609683,2.26759866326935,3.49389661907067,2.42628171864305,2.95090590521781,4.25607023639309,3.60794932298067,2.8310369768356,1.84605726822981,3.20528885170697,2.71493179142536,2.65244016266967,2.96384545056115,3.58729862928804,2.98429805310175,2.52554175818268,4.57334062308973,4.22170821824856,3.64599342592609,4.09714111928263,3.06295436129926,3.04908349253494,3.71884352492641,3.19293263307242,3.72394724647219,3.68826218829513,2.59891903689241,2.31162930768944,2.94199283193383,3.04494671188552,2.52301209128898,2.18273936029371,2.26489906463421,3.29927694881987,2.39875303890319,3.06172948579703,4.14326909915292,3.38992501142928,3.17955115524044,2.05365681051352,2.88880921188988,2.99447671107136,2.14567970169063,3.33534057086848
sub-0003,2.6844397114706,2.74459964622587,1.81366325115247,3.97953369529462,3.42047456286664,2.58015712702687,3.75069370089331,3.24840853635949,2.76906458267361,3.38373048024747,3.14602166931228,3.27973603472594,3.65526472758715,2.44491095556659,2.32682514361207,2.93659797439955,3.21543955087555,2.61765793989398,1.69773771020085,1.95909531287054,3.35013766706668,2.13434891269643,2.69973906412111,3.57669532839861,3.46650777370249,2.71436455606733,1.92752542348587,2.93824127576678,2.42521854110831,2.56376952181394,3.02192606417997,2.34566932228439,2.66802903164428,2.14219682201454,4.90755257455807,4.20011667011267,3.82685192398109,4.4569973751485,3.16814443677738,3.22116380086485,3.40303376776974,2.95423058217794,3.0526821454366,4.07153041905656,2.73493229790597,2.21557780950396,2.69451081493776,2.89457483329257,1.66472361505327,1.88576498676115,2.14745783663531,3.65055063287251,2.11652134557227,3.02564030439073,3.16476579927789,2.63550664992943,3.12054831848944,2.06773696819502,3.32897907992585,2.72152203085785,2.74481050727232,3.42297049852968
sub-0004,3.23508463764639,3.04203779122699,1.73052976304317,4.77655757640273,3.99834934311624,3.08572055908815,4.79223669775951,3.01655404435794,3.12596274665316,3.69223962067439,2.82274583679125,3.27477607771245,4.35223671553653,2.59098902497177,2.38547633921862,3.09703965692308,3.28315017040537,3.2980217140023,1.24040243866569,2.42388051280063,3.35958025377671,2.60507990975224,3.32131925716967,4.46895580745322,4.35808522381596,3.26963247310228,2.27834402935783,3.53647257666597,3.01911327114447,2.61388067792428,3.01631650456178,2.57621819320693,2.98650733586455,2.13980570406156,4.50595997511331,4.96408729168096,4.17264260160557,5.70546713840014,3.12824776008509,3.31484411111892,4.00303837310703,3.04596079718793,4.0560820742047,4.42085251528212,2.78519956106933,2.22700556165272,2.74997407322343,3.23553434191651,3.01252218095994,1.93141240669905,2.25481450904309,3.54241575932498,2.51798442290398,3.49890409343092,4.22767210385571,3.74640545964233,3.4407542620793,2.42979564087579,3.77219631977298,3.26162379828202,2.53127315754199,3.50006751394369
sub-0005,2.83765785255368,2.38336512770891,1.06171503088435,4.3462881313494,3.48477928867127,2.91636045736148,4.31631429176451,2.80408253208398,2.76101771897078,3.28656574464414,2.6125924182866,3.03217392557775,3.89522017021768,2.56430826946596,1.96459719728632,2.36993177753761,2.73670712340822,2.81023440051194,0.783258837991921,1.93037756124363,3.21827536777812,2.19297695870369,2.48921704758553,3.93529325080853,3.46144701957282,2.56372223161359,2.02184675579852,3.01341240137384,2.60569908913399,2.53732159258791,2.83457543895693,3.47757778211893,2.17525339824374,1.46520085563317,4.82324014264505,3.85978034018968,3.35439679540291,4.49155586545662,3.04266907801873,2.89975030946517,3.32776919818638,2.70098854583541,3.3633417356638,4.01334387684486,2.42984416280023,1.97642946226949,2.00739839565381,2.64055477970136,1.72028569771837,1.25138879127629,1.91194548494238,3.32985985401249,1.96283121500405,2.86127032510812,4.10261518866927,2.46906466913901,2.99228187472286,1.99504730534405,3.16237041033217,2.73975040622372,2.00788638329739,3.15634361178077
sub-0006,2.28779080010244,2.24242001092427,1.86243612927262,3.55645119666081,3.76308123681264,2.96143187708631,3.91945742673399,2.5698792095466,3.16785753651669,3.1988616932382,2.97955565302413,2.63280291758627,3.72132735272707,2.10553970382681,1.67880777044219,2.45922814225168,2.86034185554104,2.71025521383471,1.81087526339732,1.81152418427352,2.4011630558538,2.15118139808098,2.59737692895006,3.5135940391661,3.48097612621804,2.45881918219549,1.98226447550387,2.83264340368568,2.82153182981123,1.98121378518521,2.53652183767873,2.70917479969837,2.47205149367032,1.85800813522814,4.0063737342682,3.86541961564857,3.66215139073787,4.00380661708928,2.56631061157059,3.04124541584905,3.20056026242728,2.84870647925963,3.11922179637,3.34206709501156,2.54279316882755,1.74057064454523,2.45109053156647,2.85433419236504,2.39388325025764,1.76541698336574,1.88189255510349,2.54885840099659,1.96765146680621,2.5050072609557,3.34835979919635,3.30579620890515,2.83649382745129,1.94956646415786,2.70403120639356,2.90591422842974,1.60698312035952,2.92921950187872
sub-0007,2.59432138859057,2.72227850801198,2.05072201530145,4.27772554265734,3.34410026677814,3.02393898098231,3.95390690769687,2.93536620635718,2.97362180217992,3.44228768091767,2.75928072286033,3.29906331386697,3.81980393786016,3.20209055101495,2.12714026664794,2.60297834554966,2.19730807636606,2.4449644632468,1.85345253520287,2.26353992205684,3.24467613733889,2.34264216403041,2.9625138292602,4.18638807812585,3.27794429774185,2.84893792400319,2.04806415625517,2.80092167576918,2.71332327695545,2.22634383804794,3.3448456380782,3.20263653861669,2.60605968681596,2.07649505428521,4.55384887290932,3.9188301867234,3.48549695853513,4.41600289180715,3.12454696732938,2.90862476848288,3.72704620324014,2.72643071218905,3.03813429004933,3.76851563393655,2.73402355626718,2.10843828169875,2.65644170323493,2.96861503316714,2.44822930419688,1.93218035893165,2.03710914387909,3.58181536694265,2.18358736697711,3.1801547542289,4.15537027391454,3.08653034642954,3.08895403762105,2.20706784257627,3.00962095682068,2.59922440311031,2.06531461088388,3.504187332674
sub-0008,2.92799157095754,2.3214485659568,1.80782841855728,4.92592510590067,3.63744709454902,3.082073056369,4.22908025609957,2.97690704523774,2.59086046170437,3.3253411720636,2.31614880637151,3.3607909088938,3.88335375338759,2.51803229749514,1.78082341018697,2.55885136663556,2.31894188825146,2.21284727888036,1.4381045654531,1.81668246744419,3.09903470998166,1.91543643297907,2.77401699007128,3.84190205072117,3.07295794753503,2.63141436370393,2.0550408681287,2.95488648768453,2.74446822620938,1.80540458154371,3.07573024554464,2.19771025323804,2.81192372006687,1.86577421732744,4.2929313258324,4.33313431714205,3.68926693344308,4.65903646667721,3.20282110049499,2.93929860558305,3.32374980289431,2.44023510205116,3.35846923252584,3.85647385006859,3.11871389110905,1.94070695943377,2.75357438894156,2.70080958314766,2.79804994107669,1.9290376124197,2.44616816061741,3.17722281741708,2.13804964105449,2.90947483964641,3.51244295681114,3.88518392156772,3.00506081231345,2.11843648789145,3.02273236728987,3.2106738428566,2.22666100637776,3.2704667937437
sub-0009,2.16377785647634,2.35447625273549,1.56289652686793,3.94909633335168,3.29735504202502,3.36742940637596,4.22727242024672,2.43950608181634,2.67097394404378,3.07058819599438,2.03234663119376,3.35595204650459,4.05218070463046,1.92215448316568,1.80171620300128,2.30037837747101,2.65687864052009,2.45912694728019,1.08887566362281,1.97137768512467,2.05782505948796,2.1865704779955,2.7030356323916,3.8894310171734,3.16882494742837,2.44263316529277,2.18973195833607,2.97429343101443,2.82828311188586,1.7960998943538,2.69706757298844,2.75610880989581,2.65184998788581,1.66927402704334,4.03458850286015,3.81022301486726,3.38962480546788,4.09788737414898,2.79572614239141,2.64587962147163,3.14001704872447,2.11185876409905,3.84316741488074,3.62888039828342,2.38507805031039,1.75772663622085,2.27838717713347,3.43434497095691,2.64880289646117,1.35538889583703,1.780616693817,2.24312150617057,2.09514736833272,2.82816914421686,3.35960949988733,3.42457903688758,2.50528159050343,2.04162252722501,2.9477300554772,2.61781277668081,1.90471366892829,2.4864875402002
sub-0010,3.02180701006295,2.66561070862277,2.21380975728091,4.06250368032925,3.50649765041083,2.96199638159848,3.99369474069564,3.2150823886177,2.90378885392198,3.41734152659322,2.96716496860966,3.61705842585827,3.62545813021003,2.62753749320099,2.17541138463467,2.35815855695489,2.4985242327213,2.69123378975759,2.29620844711446,1.7995669560033,3.35937844573166,2.00710661274205,3.27563088588145,3.71799268556978,3.49284354861235,2.9545378352298,2.10995183813598,2.72496027405639,2.27742428412104,2.14434619973715,2.88270213874465,2.55481193011554,2.83912650939119,2.11162617997924,4.68395553843096,4.10680223618275,3.96661484797673,4.85228365658798,3.20860539896758,3.31407564185761,3.83159494691967,2.99265927578305,3.98479228062792,4.14196029710964,2.67638219056155,2.27108180261687,3.08155417759942,4.04356098115721,3.39802317856521,2.12975024760993,2.52158444966069,3.85395744143872,2.4702851424332,2.99837874906691,3.57957567049775,3.82590772068086,3.0692415510518,2.42360050049054,3.23785083031049,3.6031646076635,2.54589457354003,3.61126032357803
